#1:snapshot #2:rc #3:rh #4:rc/rh [all units parsec]
n2e5_w5_r2_Rg8_z0.001.out.snap0061.dat.gz 2.37 3.76 0.63
n2e5_w5_r2_Rg8_z0.001.out.snap0062.dat.gz 2.21 3.83 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0063.dat.gz 2.26 3.85 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0064.dat.gz 2.41 3.77 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0065.dat.gz 2.3 3.85 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0066.dat.gz 2.5 3.83 0.65
n2e5_w5_r2_Rg8_z0.001.out.snap0067.dat.gz 2.3 3.92 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0068.dat.gz 2.75 3.92 0.7
n2e5_w5_r2_Rg8_z0.001.out.snap0069.dat.gz 2.65 4.03 0.66
n2e5_w5_r2_Rg8_z0.001.out.snap0070.dat.gz 2.44 3.99 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0071.dat.gz 2.52 4.15 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0072.dat.gz 2.46 4.13 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0073.dat.gz 2.6 4.19 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0074.dat.gz 2.65 4.14 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0075.dat.gz 2.8 4.3 0.65
n2e5_w5_r2_Rg8_z0.001.out.snap0076.dat.gz 2.67 4.24 0.63
n2e5_w5_r2_Rg8_z0.001.out.snap0077.dat.gz 2.49 4.31 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0078.dat.gz 2.74 4.43 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0079.dat.gz 2.68 4.43 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0080.dat.gz 2.85 4.35 0.66
n2e5_w5_r2_Rg8_z0.001.out.snap0081.dat.gz 2.59 4.42 0.59
