#snapno  time[Myr] time[FP]
0178 10938.7254888 3.6337659
0179 11042.232246 3.6681501
0180 11131.6501972 3.6978541
0181 11251.7810352 3.7377607
0182 11288.6993544 3.7500247
0183 11366.5649783 3.7758911
0184 11559.46139 3.8399699
0185 11691.8992374 3.8839648
0186 11820.1064093 3.9265543
0187 11960.7732128 3.9732828
0188 12000.0362547 3.9863257
