0.000975257 0.255616
0.00594097 0.596002
0.0175218 0.597861
0.0207352 0.93238
0.0256323 1.31035
0.0265494 1.45405
0.0325286 1.60573
0.0333676 1.76541
0.033754 2.87717
0.0350621 3.5156
0.035769 3.72562
0.0360176 4.01008
0.0380811 4.51446
0.039631 6.36527
0.0419638 6.38836
0.0444807 6.56365
0.0463076 6.67785
0.052412 6.94977
0.0561583 6.95821
0.0612728 6.99716
0.0636113 9.47622
0.0648129 9.61121
0.0661394 10.3086
0.066343 11.1477
0.0668168 23.3763
0.067704 23.4087
0.0696914 23.6994
0.0703586 23.8015
0.0712939 27.3416
0.0717088 27.3442
0.0743517 27.7
0.0753011 27.8403
0.0761139 28.6214
0.076307 28.9577
0.0778624 29.0956
0.0779527 40.7157
0.078211 40.933
0.0786207 41.1573
0.0787487 41.4516
0.0790213 41.6492
0.0795882 41.882
0.0796791 42.2451
0.0802985 42.4576
0.0806388 43.0276
0.0808548 43.2272
0.0815352 43.9478
0.0832228 44.7495
0.0836075 45.0333
0.0839706 45.2716
0.0845872 45.2918
0.0855886 45.4302
0.0858547 45.4351
0.0870634 46.0954
0.0885972 46.374
0.0887722 46.6144
0.0891976 47.059
0.0910022 47.2631
0.0913879 47.2696
0.0914007 47.2802
0.0929258 48.1702
0.0941097 48.6076
0.0942445 48.7708
0.0944056 48.859
0.0955566 48.9275
0.0963069 49.2824
0.0968644 50.2588
0.0980604 51.3354
0.0982151 52.1535
0.0988153 52.3649
0.0993419 52.6123
0.100686 52.7724
0.101127 53.0234
0.101377 53.2374
0.101693 53.241
0.10183 53.4043
0.103036 54.2908
0.10496 54.428
0.106721 54.4311
0.107496 58.9899
0.1084 61.4704
0.109971 61.7963
0.110823 61.9349
0.110931 63.0784
0.110976 63.2333
0.111229 63.7938
0.111813 64.2087
0.113083 64.2172
0.114033 64.3649
0.114156 64.5011
0.114624 64.5053
0.116083 64.65
0.117 64.9068
0.117047 65.1259
0.117171 65.2659
0.117586 65.4512
0.117659 65.6203
0.118735 66.194
0.120759 66.4197
0.121185 66.6245
0.121921 66.7596
0.121925 66.8983
0.121965 67.7402
0.122104 68.1331
0.122347 68.3698
0.125214 68.5162
0.126468 69.1445
0.126896 69.2838
0.127958 69.5444
0.128092 69.6269
0.129242 69.6328
0.129305 69.658
0.129842 70.5222
0.130505 71.1984
0.131777 71.5585
0.13202 72.0768
0.133247 72.0894
0.133561 72.4116
0.134136 72.4163
0.134232 72.8654
0.134522 73.0039
0.134911 73.0902
0.135108 73.093
0.135728 73.4881
0.136006 73.5065
0.136312 73.6542
0.136462 73.8162
0.136615 74.0874
0.136843 74.2235
0.137183 74.385
0.137996 74.6059
0.138866 75.8034
0.139404 75.8155
0.139855 75.9542
0.140293 76.1086
0.140763 76.9493
0.141791 76.9555
0.142253 77.5208
0.142843 77.5295
0.144711 77.7395
0.145044 77.8755
0.146028 78.2949
0.146339 94.166
0.146399 94.7195
0.147135 94.8606
0.147197 95.1172
0.147422 99.0606
0.147825 99.3049
0.147971 99.512
0.148594 99.5602
0.148681 99.9514
0.148695 100.307
0.149268 101.179
0.15112 101.441
0.151216 101.582
0.151474 101.79
0.152729 101.931
0.152738 102.262
0.152873 102.602
0.152966 103.28
0.153104 103.283
0.153733 103.424
0.155078 104.264
0.155186 104.485
0.156332 104.62
0.157003 104.987
0.157266 105.16
0.157612 105.538
0.157761 105.54
0.157787 105.957
0.157937 106.341
0.158176 106.499
0.158275 106.641
0.158886 106.79
0.159222 107.002
0.16039 107.032
0.160455 107.178
0.160528 107.426
0.160855 108.85
0.161365 109.107
0.16334 109.318
0.163687 110.277
0.163736 110.431
0.164289 110.922
0.164643 110.926
0.165053 111.087
0.165066 111.303
0.165084 112.052
0.165403 112.271
0.16605 112.484
0.166464 112.671
0.166587 112.81
0.167093 113.064
0.167529 113.245
0.167681 113.549
0.168041 113.797
0.169051 114.053
0.171663 114.076
0.172012 114.215
0.172896 114.487
0.173206 114.496
0.173576 114.899
0.173673 115.13
0.173737 115.303
0.174729 115.44
0.175214 115.663
0.175433 115.98
0.175786 116.21
0.176035 116.348
0.176501 116.948
0.177501 117.362
0.178132 118.169
0.178282 118.333
0.178494 118.983
0.179079 119.357
0.179594 119.367
0.180973 119.465
0.181142 119.53
0.181233 120.124
0.18158 120.154
0.181746 120.382
0.181907 120.844
0.183208 121.922
0.183243 122.153
0.183263 122.52
0.183833 122.659
0.184241 123.112
0.184251 123.325
0.184618 123.553
0.185261 123.561
0.185771 123.562
0.186204 123.704
0.186355 123.706
0.186366 123.842
0.186669 123.844
0.186863 124.297
0.186992 126.16
0.187093 126.257
0.187509 126.265
0.187883 127.011
0.187884 127.017
0.188412 127.413
0.188905 128.532
0.188912 128.803
0.18919 129.164
0.189553 129.303
0.190271 129.885
0.190495 129.888
0.190783 130.068
0.190948 130.397
0.191131 130.4
0.191238 130.984
0.191564 131.135
0.191571 131.798
0.192507 132.999
0.192669 133.012
0.192732 133.683
0.192956 134.299
0.193575 135.825
0.194145 136.036
0.19446 136.757
0.19532 137.371
0.195443 137.561
0.195617 137.894
0.196737 138.03
0.196933 138.323
0.197688 138.504
0.197821 138.508
0.198044 138.72
0.198227 138.855
0.198971 139.098
0.199211 139.407
0.19922 139.85
0.199225 140.163
0.199486 140.347
0.200105 140.72
0.200494 141.526
0.200812 141.528
0.201708 142.035
0.202058 142.038
0.202393 142.165
0.202446 142.368
0.202986 142.379
0.203404 142.819
0.203725 142.991
0.204215 143.387
0.207426 143.441
0.207481 144.467
0.207814 144.918
0.207817 144.921
