#snapno time[Myr] time[FP] #1:snapshot #2:rc #3:rh #4:rc/rh
0051 1043.2796409 0.34656999 n2e5_w5_r2_Rg8_z0.001.out.snap0051.dat.gz 2.16 3.28 0.66
0052 1078.73128173 0.35834677 n2e5_w5_r2_Rg8_z0.001.out.snap0052.dat.gz 2.17 3.39 0.64
0053 1107.96535864 0.36805812 n2e5_w5_r2_Rg8_z0.001.out.snap0053.dat.gz 2.29 3.3 0.7
0054 1141.36599177 0.37915357 n2e5_w5_r2_Rg8_z0.001.out.snap0054.dat.gz 2.22 3.41 0.65
0055 1170.6123808 0.38886901 n2e5_w5_r2_Rg8_z0.001.out.snap0055.dat.gz 2.39 3.42 0.7
0056 1240.2335155 0.41199665 n2e5_w5_r2_Rg8_z0.001.out.snap0056.dat.gz 2.34 3.55 0.66
0057 1275.50839151 0.42371471 n2e5_w5_r2_Rg8_z0.001.out.snap0057.dat.gz 2.28 3.51 0.65
0058 1301.134955 0.43222767 n2e5_w5_r2_Rg8_z0.001.out.snap0058.dat.gz 1.88 3.54 0.53
0059 1329.700655 0.44171699 n2e5_w5_r2_Rg8_z0.001.out.snap0059.dat.gz 2.27 3.66 0.62
0060 1401.00716635 0.4654045 n2e5_w5_r2_Rg8_z0.001.out.snap0060.dat.gz 2.31 3.65 0.63
0061 1441.65858868 0.47890861 n2e5_w5_r2_Rg8_z0.001.out.snap0061.dat.gz 2.37 3.76 0.63
0062 1478.81508282 0.49125173 n2e5_w5_r2_Rg8_z0.001.out.snap0062.dat.gz 2.21 3.83 0.58
0063 1505.18215 0.50001068 n2e5_w5_r2_Rg8_z0.001.out.snap0063.dat.gz 2.26 3.85 0.59
0064 1517.68061457 0.50416258 n2e5_w5_r2_Rg8_z0.001.out.snap0064.dat.gz 2.41 3.77 0.64
0065 1546.19420628 0.51363459 n2e5_w5_r2_Rg8_z0.001.out.snap0065.dat.gz 2.3 3.85 0.6
0066 1565.50022347 0.52004791 n2e5_w5_r2_Rg8_z0.001.out.snap0066.dat.gz 2.5 3.83 0.65
0067 1604.7758785 0.533095 n2e5_w5_r2_Rg8_z0.001.out.snap0067.dat.gz 2.3 3.92 0.59
0068 1672.88731764 0.55572113 n2e5_w5_r2_Rg8_z0.001.out.snap0068.dat.gz 2.75 3.92 0.7
0069 1715.12074293 0.56975077 n2e5_w5_r2_Rg8_z0.001.out.snap0069.dat.gz 2.65 4.03 0.66
0070 1766.27711887 0.58674455 n2e5_w5_r2_Rg8_z0.001.out.snap0070.dat.gz 2.44 3.99 0.61
0071 1815.36689375 0.60305182 n2e5_w5_r2_Rg8_z0.001.out.snap0071.dat.gz 2.52 4.15 0.61
0072 1861.31180822 0.61831439 n2e5_w5_r2_Rg8_z0.001.out.snap0072.dat.gz 2.46 4.13 0.59
0073 1945.16678522 0.64617041 n2e5_w5_r2_Rg8_z0.001.out.snap0073.dat.gz 2.6 4.19 0.62
0074 1985.69069125 0.65963216 n2e5_w5_r2_Rg8_z0.001.out.snap0074.dat.gz 2.65 4.14 0.64
